filename,title,source_url,page_url,license_note
01_luwan_house_feat_sonja_v.mp3,Luwan House feat Sonja V,https://ccmixter.org/content/Reiswerk/Reiswerk_-_Luwan_House_feat_Sonja_V.mp3,https://ccmixter.org/files/Reiswerk/46456,CC BY-NC 3.0 / ccMixter / vocals
02_slam_van_vocals.mp3,Slam Van Vocals,https://ccmixter.org/content/Thespinwires/Thespinwires_-_Slam_Van_Vocals.mp3,https://ccmixter.org/files/Thespinwires/46206,CC BY 3.0 / ccMixter / male vocals
03_my_open_heart_cruzer_remix.mp3,My Open Heart Cruzer Remix,https://ccmixter.org/content/Cruzer/Cruzer_-_My_Open_Heart_Cruzer_Remix.mp3,https://ccmixter.org/files/Cruzer/46025,CC BY-NC 3.0 / ccMixter / dance pop vocals
04_any_day_now.mp3,Any Day Now,https://ccmixter.org/content/fronzarp/fronzarp_-_Any_Day_Now.mp3,https://ccmixter.org/files/fronzarp/46015,CC BY-NC 3.0 / ccMixter / male pop-rock vocals
05_hide_and_seek.mp3,Hide and Seek (I'm Not There),https://ccmixter.org/content/fronzarp/fronzarp_-_Hide_and_Seek_(I_m_Not_There).mp3,https://ccmixter.org/files/fronzarp/46012,CC BY-NC 3.0 / ccMixter / pop-rock vocals
06_you_do_it_to_yourself.mp3,You Do It To Yourself,https://ccmixter.org/content/fronzarp/fronzarp_-_You_Do_It_To_Yourself.mp3,https://ccmixter.org/files/fronzarp/46011,CC BY-NC 3.0 / ccMixter / pop-rock vocals
07_the_escape_artist.mp3,The Escape Artist,https://ccmixter.org/content/fronzarp/fronzarp_-_The_Escape_Artist.mp3,https://ccmixter.org/files/fronzarp/46010,CC BY-NC 3.0 / ccMixter / acoustic pop vocals
08_designer_children.mp3,Designer Children,https://ccmixter.org/content/fronzarp/fronzarp_-_Designer_Children.mp3,https://ccmixter.org/files/fronzarp/45997,CC BY-NC 3.0 / ccMixter / pop vocals
09_whos_the_man_fonzy_remix.mp3,Who's The Man Fonzy Remix,https://ccmixter.org/content/Fonzyyy/Fonzyyy_-_Who_s_The_Man_Fonzy_Remix.mp3,https://ccmixter.org/files/Fonzyyy/45986,CC BY-NC 3.0 / ccMixter / pop vocals
10_goodbye_to_move_with_purpose_mix.mp3,Goodbye (To Move With Purpose Mix),https://ccmixter.org/content/NinKenDo/NinKenDo_-_Goodbye_(To_Move_With_Purpose_Mix).mp3,https://ccmixter.org/files/NinKenDo/45985,CC BY-NC 3.0 / ccMixter / pop vocals
